Row,Day,Day.Of.Week,Date,Page.Loads,Unique.Visits,First.Time.Visits,Returning.Visits
450,Monday,2,12/7/2015,"6,940","5,136","4,303",833
451,Tuesday,3,12/8/2015,"6,551","4,866","4,068",798
452,Wednesday,4,12/9/2015,"6,327","4,761","3,961",800
453,Thursday,5,12/10/2015,"6,212","4,578","3,830",748
454,Friday,6,12/11/2015,"4,687","3,388","2,771",617
455,Saturday,7,12/12/2015,"3,014","2,283","1,856",427
456,Sunday,1,12/13/2015,"4,132","3,064","2,548",516
457,Monday,2,12/14/2015,"5,989","4,330","3,606",724
458,Tuesday,3,12/15/2015,"5,331","3,967","3,309",658
459,Wednesday,4,12/16/2015,"5,183","3,665","3,025",640
460,Thursday,5,12/17/2015,"4,769","3,515","2,917",598
461,Friday,6,12/18/2015,"3,627","2,518","2,071",447
462,Saturday,7,12/19/2015,"1,857","1,319","1,087",232
463,Sunday,1,12/20/2015,"2,221","1,489","1,204",285
464,Monday,2,12/21/2015,"3,335","2,335","1,906",429
465,Tuesday,3,12/22/2015,"2,883","2,047","1,639",408
466,Wednesday,4,12/23/2015,"2,353","1,621","1,312",309
467,Thursday,5,12/24/2015,"1,578","1,099",886,213
468,Friday,6,12/25/2015,"1,017",724,586,138
469,Saturday,7,12/26/2015,"1,334",936,760,176
470,Sunday,1,12/27/2015,"1,690","1,155",947,208
471,Monday,2,12/28/2015,"2,838","1,829","1,474",355
472,Tuesday,3,12/29/2015,"2,815","1,786","1,419",367
473,Wednesday,4,12/30/2015,"2,382","1,618","1,292",326
474,Thursday,5,12/31/2015,"1,587","1,035",809,226
475,Friday,6,1/1/2016,"1,411",960,786,174
476,Saturday,7,1/2/2016,"1,838","1,197",969,228
477,Sunday,1,1/3/2016,"2,180","1,562","1,279",283
478,Monday,2,1/4/2016,"3,587","2,494","2,037",457
479,Tuesday,3,1/5/2016,"3,855","2,742","2,230",512
480,Wednesday,4,1/6/2016,"3,840","2,628","2,127",501
481,Thursday,5,1/7/2016,"3,735","2,746","2,258",488
482,Friday,6,1/8/2016,"3,223","2,286","1,860",426
483,Saturday,7,1/9/2016,"2,207","1,531","1,280",251
484,Sunday,1,1/10/2016,"2,814","2,000","1,661",339
485,Monday,2,1/11/2016,"4,007","2,976","2,444",532
486,Tuesday,3,1/12/2016,"4,119","2,961","2,385",576
487,Wednesday,4,1/13/2016,"4,338","3,164","2,631",533
488,Thursday,5,1/14/2016,"4,432","2,962","2,418",544
489,Friday,6,1/15/2016,"3,306","2,349","1,866",483
490,Saturday,7,1/16/2016,"2,223","1,557","1,262",295
491,Sunday,1,1/17/2016,"2,757","2,002","1,635",367
492,Monday,2,1/18/2016,"4,047","2,898","2,373",525
493,Tuesday,3,1/19/2016,"4,489","3,190","2,566",624
494,Wednesday,4,1/20/2016,"4,588","3,232","2,656",576
495,Thursday,5,1/21/2016,"4,398","3,106","2,561",545
496,Friday,6,1/22/2016,"3,340","2,455","1,990",465
497,Saturday,7,1/23/2016,"2,344","1,639","1,338",301
498,Sunday,1,1/24/2016,"2,973","2,094","1,736",358
499,Monday,2,1/25/2016,"4,638","3,205","2,649",556
500,Tuesday,3,1/26/2016,"4,791","3,409","2,834",575
501,Wednesday,4,1/27/2016,"5,104","3,768","3,197",571
502,Thursday,5,1/28/2016,"4,621","3,439","2,876",563
503,Friday,6,1/29/2016,"3,831","2,715","2,232",483
504,Saturday,7,1/30/2016,"2,295","1,690","1,400",290
505,Sunday,1,1/31/2016,"3,235","2,462","2,050",412
506,Monday,2,2/1/2016,"4,918","3,640","3,060",580
507,Tuesday,3,2/2/2016,"5,127","3,783","3,195",588
508,Wednesday,4,2/3/2016,"4,794","3,575","2,999",576
509,Thursday,5,2/4/2016,"4,788","3,420","2,848",572
510,Friday,6,2/5/2016,"3,948","2,727","2,256",471
511,Saturday,7,2/6/2016,"2,383","1,765","1,477",288
512,Sunday,1,2/7/2016,"2,950","2,231","1,839",392
513,Monday,2,2/8/2016,"4,905","3,592","3,024",568
514,Tuesday,3,2/9/2016,"5,353","3,931","3,299",632
515,Wednesday,4,2/10/2016,"5,492","4,007","3,358",649
516,Thursday,5,2/11/2016,"5,052","3,628","3,019",609
517,Friday,6,2/12/2016,"3,764","2,807","2,300",507
518,Saturday,7,2/13/2016,"2,458","1,788","1,459",329
519,Sunday,1,2/14/2016,"3,098","2,277","1,866",411
520,Monday,2,2/15/2016,"4,951","3,652","3,039",613
521,Tuesday,3,2/16/2016,"5,495","4,000","3,304",696
522,Wednesday,4,2/17/2016,"5,505","4,062","3,375",687
523,Thursday,5,2/18/2016,"5,188","3,812","3,156",656
524,Friday,6,2/19/2016,"4,002","2,932","2,377",555
525,Saturday,7,2/20/2016,"2,607","1,888","1,537",351
526,Sunday,1,2/21/2016,"3,906","2,838","2,355",483
527,Monday,2,2/22/2016,"6,360","4,432","3,684",748
528,Tuesday,3,2/23/2016,"6,046","4,460","3,714",746
529,Wednesday,4,2/24/2016,"5,938","4,309","3,499",810
530,Thursday,5,2/25/2016,"5,325","3,892","3,199",693
531,Friday,6,2/26/2016,"4,165","3,048","2,490",558
532,Saturday,7,2/27/2016,"2,829","2,096","1,726",370
533,Sunday,1,2/28/2016,"4,090","2,979","2,462",517
534,Monday,2,2/29/2016,"5,734","4,224","3,493",731
535,Tuesday,3,3/1/2016,"6,214","4,474","3,731",743
536,Wednesday,4,3/2/2016,"5,906","4,333","3,597",736
537,Thursday,5,3/3/2016,"5,814","4,191","3,419",772
538,Friday,6,3/4/2016,"4,507","3,188","2,624",564
539,Saturday,7,3/5/2016,"2,859","2,064","1,718",346
540,Sunday,1,3/6/2016,"3,897","2,806","2,326",480
541,Monday,2,3/7/2016,"5,849","4,240","3,503",737
542,Tuesday,3,3/8/2016,"6,264","4,526","3,743",783
543,Wednesday,4,3/9/2016,"6,062","4,404","3,624",780
544,Thursday,5,3/10/2016,"5,685","4,159","3,415",744
545,Friday,6,3/11/2016,"4,391","3,241","2,627",614
546,Saturday,7,3/12/2016,"2,880","2,046","1,638",408
547,Sunday,1,3/13/2016,"3,740","2,673","2,163",510
548,Monday,2,3/14/2016,"5,710","4,261","3,469",792
549,Tuesday,3,3/15/2016,"5,168","3,778","3,047",731
550,Wednesday,4,3/16/2016,"5,577","4,062","3,287",775
551,Thursday,5,3/17/2016,"5,238","3,827","3,134",693
552,Friday,6,3/18/2016,"3,931","2,871","2,320",551
553,Saturday,7,3/19/2016,"2,606","1,892","1,568",324
554,Sunday,1,3/20/2016,"3,149","2,410","2,028",382
555,Monday,2,3/21/2016,"5,565","3,968","3,274",694
556,Tuesday,3,3/22/2016,"5,281","3,770","3,035",735
557,Wednesday,4,3/23/2016,"5,202","3,780","3,146",634
558,Thursday,5,3/24/2016,"4,581","3,203","2,649",554
559,Friday,6,3/25/2016,"3,264","2,281","1,847",434
560,Saturday,7,3/26/2016,"2,344","1,759","1,393",366
561,Sunday,1,3/27/2016,"3,112","2,311","1,890",421
562,Monday,2,3/28/2016,"5,051","3,655","2,985",670
563,Tuesday,3,3/29/2016,"5,333","3,944","3,217",727
564,Wednesday,4,3/30/2016,"5,671","4,078","3,369",709
565,Thursday,5,3/31/2016,"5,097","3,707","3,026",681
566,Friday,6,4/1/2016,"4,555","2,971","2,408",563
567,Saturday,7,4/2/2016,"2,987","2,129","1,737",392
568,Sunday,1,4/3/2016,"4,257","2,964","2,421",543
569,Monday,2,4/4/2016,"5,804","4,216","3,426",790
570,Tuesday,3,4/5/2016,"5,885","4,379","3,597",782
571,Wednesday,4,4/6/2016,"6,054","4,293","3,522",771
572,Thursday,5,4/7/2016,"5,791","4,147","3,422",725
573,Friday,6,4/8/2016,"4,741","3,430","2,820",610
574,Saturday,7,4/9/2016,"2,946","2,140","1,740",400
575,Sunday,1,4/10/2016,"4,071","2,864","2,330",534
576,Monday,2,4/11/2016,"6,265","4,503","3,667",836
577,Tuesday,3,4/12/2016,"6,298","4,626","3,769",857
578,Wednesday,4,4/13/2016,"6,495","4,628","3,791",837
579,Thursday,5,4/14/2016,"5,536","4,189","3,431",758
580,Friday,6,4/15/2016,"4,737","3,447","2,785",662
581,Saturday,7,4/16/2016,"3,232","2,333","1,862",471
582,Sunday,1,4/17/2016,"4,201","3,093","2,504",589
583,Monday,2,4/18/2016,"6,806","4,769","3,920",849
584,Tuesday,3,4/19/2016,"6,769","4,817","3,940",877
585,Wednesday,4,4/20/2016,"6,581","4,824","3,926",898
586,Thursday,5,4/21/2016,"6,254","4,537","3,707",830
587,Friday,6,4/22/2016,"5,163","3,685","3,009",676
588,Saturday,7,4/23/2016,"3,851","2,595","2,113",482
589,Sunday,1,4/24/2016,"4,695","3,386","2,761",625
590,Monday,2,4/25/2016,"7,098","5,224","4,237",987
591,Tuesday,3,4/26/2016,"7,156","5,392","4,468",924
592,Wednesday,4,4/27/2016,"6,836","5,056","4,130",926
593,Thursday,5,4/28/2016,"6,329","4,724","3,892",832
594,Friday,6,4/29/2016,"4,990","3,608","2,922",686
595,Saturday,7,4/30/2016,"3,536","2,489","1,993",496
596,Sunday,1,5/1/2016,"4,366","3,236","2,605",631
597,Monday,2,5/2/2016,"6,510","4,786","3,909",877
598,Tuesday,3,5/3/2016,"6,855","4,962","4,085",877
599,Wednesday,4,5/4/2016,"6,599","4,651","3,744",907
600,Thursday,5,5/5/2016,"5,510","4,105","3,375",730
601,Friday,6,5/6/2016,"4,549","3,245","2,639",606
602,Saturday,7,5/7/2016,"3,064","2,167","1,760",407
603,Sunday,1,5/8/2016,"3,633","2,663","2,180",483
604,Monday,2,5/9/2016,"5,838","4,283","3,489",794
605,Tuesday,3,5/10/2016,"6,026","4,336","3,581",755
606,Wednesday,4,5/11/2016,"5,780","4,226","3,479",747
607,Thursday,5,5/12/2016,"5,131","3,781","3,101",680
608,Friday,6,5/13/2016,"3,928","2,845","2,294",551
609,Saturday,7,5/14/2016,"2,636","1,930","1,552",378
610,Sunday,1,5/15/2016,"3,278","2,366","1,922",444
611,Monday,2,5/16/2016,"4,785","3,560","2,882",678
612,Tuesday,3,5/17/2016,"4,886","3,601","2,914",687
613,Wednesday,4,5/18/2016,"5,145","3,672","2,987",685
614,Thursday,5,5/19/2016,"5,849","4,211","3,484",727
615,Friday,6,5/20/2016,"4,456","3,324","2,725",599
616,Saturday,7,5/21/2016,"2,960","2,138","1,716",422
617,Sunday,1,5/22/2016,"3,885","2,860","2,338",522
618,Monday,2,5/23/2016,"5,857","4,155","3,368",787
619,Tuesday,3,5/24/2016,"6,162","4,345","3,526",819
620,Wednesday,4,5/25/2016,"6,014","4,254","3,398",856
621,Thursday,5,5/26/2016,"5,652","4,119","3,385",734
622,Friday,6,5/27/2016,"4,793","3,340","2,692",648
623,Saturday,7,5/28/2016,"2,819","1,995","1,611",384
624,Sunday,1,5/29/2016,"3,687","2,546","2,067",479
625,Monday,2,5/30/2016,"4,851","3,399","2,701",698
626,Tuesday,3,5/31/2016,"5,775","4,216","3,413",803
627,Wednesday,4,6/1/2016,"5,443","3,962","3,193",769
628,Thursday,5,6/2/2016,"5,590","3,959","3,176",783
629,Friday,6,6/3/2016,"4,482","3,164","2,489",675
630,Saturday,7,6/4/2016,"2,792","1,947","1,533",414
631,Sunday,1,6/5/2016,"3,371","2,449","1,979",470
632,Monday,2,6/6/2016,"5,547","3,832","3,036",796
633,Tuesday,3,6/7/2016,"5,468","3,954","3,226",728
634,Wednesday,4,6/8/2016,"5,104","3,751","3,064",687
635,Thursday,5,6/9/2016,"4,728","3,485","2,812",673
636,Friday,6,6/10/2016,"4,024","2,855","2,290",565
637,Saturday,7,6/11/2016,"2,350","1,677","1,348",329
638,Sunday,1,6/12/2016,"3,234","2,196","1,779",417
639,Monday,2,6/13/2016,"4,948","3,550","2,790",760
640,Tuesday,3,6/14/2016,"5,247","3,760","3,052",708
641,Wednesday,4,6/15/2016,"5,003","3,557","2,810",747
642,Thursday,5,6/16/2016,"4,816","3,482","2,775",707
643,Friday,6,6/17/2016,"4,208","2,818","2,267",551
644,Saturday,7,6/18/2016,"2,454","1,668","1,357",311
645,Sunday,1,6/19/2016,"2,763","1,919","1,506",413
646,Monday,2,6/20/2016,"4,954","3,522","2,829",693
647,Tuesday,3,6/21/2016,"4,903","3,470","2,793",677
648,Wednesday,4,6/22/2016,"4,907","3,464","2,772",692
649,Thursday,5,6/23/2016,"4,625","3,336","2,669",667
650,Friday,6,6/24/2016,"3,497","2,482","1,947",535
651,Saturday,7,6/25/2016,"1,826","1,358","1,101",257
652,Sunday,1,6/26/2016,"2,307","1,721","1,356",365
653,Monday,2,6/27/2016,"4,368","3,078","2,433",645
654,Tuesday,3,6/28/2016,"4,233","3,091","2,466",625
655,Wednesday,4,6/29/2016,"4,187","2,948","2,377",571
656,Thursday,5,6/30/2016,"3,811","2,726","2,135",591
657,Friday,6,7/1/2016,"3,179","2,226","1,730",496
658,Saturday,7,7/2/2016,"1,615","1,039",814,225
659,Sunday,1,7/3/2016,"1,788","1,307","1,028",279
660,Monday,2,7/4/2016,"2,959","2,144","1,653",491
661,Tuesday,3,7/5/2016,"3,947","2,840","2,235",605
662,Wednesday,4,7/6/2016,"3,841","2,821","2,248",573
663,Thursday,5,7/7/2016,"3,729","2,700","2,148",552
664,Friday,6,7/8/2016,"3,324","2,381","1,891",490
665,Saturday,7,7/9/2016,"1,795","1,305","1,036",269
666,Sunday,1,7/10/2016,"2,373","1,655","1,321",334
667,Monday,2,7/11/2016,"4,101","2,855","2,208",647
668,Tuesday,3,7/12/2016,"4,241","2,960","2,352",608
669,Wednesday,4,7/13/2016,"4,478","3,189","2,578",611
670,Thursday,5,7/14/2016,"3,961","2,814","2,214",600
671,Friday,6,7/15/2016,"3,367","2,325","1,796",529
672,Saturday,7,7/16/2016,"1,828","1,222",951,271
673,Sunday,1,7/17/2016,"2,344","1,636","1,319",317
674,Monday,2,7/18/2016,"4,415","3,007","2,382",625
675,Tuesday,3,7/19/2016,"4,403","3,151","2,502",649
676,Wednesday,4,7/20/2016,"4,244","3,082","2,450",632
677,Thursday,5,7/21/2016,"4,322","3,077","2,404",673
678,Friday,6,7/22/2016,"3,456","2,431","1,936",495
679,Saturday,7,7/23/2016,"2,068","1,407","1,099",308
680,Sunday,1,7/24/2016,"2,568","1,755","1,374",381
681,Monday,2,7/25/2016,"4,770","3,320","2,628",692
682,Tuesday,3,7/26/2016,"4,621","3,277","2,595",682
683,Wednesday,4,7/27/2016,"4,470","3,164","2,513",651
684,Thursday,5,7/28/2016,"4,307","3,077","2,459",618
685,Friday,6,7/29/2016,"3,370","2,366","1,818",548
686,Saturday,7,7/30/2016,"1,960","1,341","1,017",324
687,Sunday,1,7/31/2016,"2,412","1,765","1,423",342
688,Monday,2,8/1/2016,"4,504","3,095","2,489",606
689,Tuesday,3,8/2/2016,"4,382","3,138","2,499",639
690,Wednesday,4,8/3/2016,"4,710","3,369","2,697",672
691,Thursday,5,8/4/2016,"4,324","3,106","2,479",627
692,Friday,6,8/5/2016,"3,472","2,497","1,980",517
693,Saturday,7,8/6/2016,"1,909","1,339","1,081",258
694,Sunday,1,8/7/2016,"2,365","1,688","1,334",354
695,Monday,2,8/8/2016,"4,460","3,056","2,438",618
696,Tuesday,3,8/9/2016,"4,479","3,135","2,482",653
697,Wednesday,4,8/10/2016,"4,510","3,207","2,550",657
698,Thursday,5,8/11/2016,"4,340","3,111","2,491",620
699,Friday,6,8/12/2016,"3,508","2,436","1,933",503
700,Saturday,7,8/13/2016,"2,030","1,420","1,122",298
701,Sunday,1,8/14/2016,"2,586","1,749","1,399",350
702,Monday,2,8/15/2016,"4,476","2,970","2,346",624
703,Tuesday,3,8/16/2016,"3,232","2,299","1,823",476
704,Wednesday,4,8/17/2016,"4,291","3,106","2,498",608
705,Thursday,5,8/18/2016,"4,247","2,926","2,327",599
706,Friday,6,8/19/2016,"3,477","2,539","2,045",494
707,Saturday,7,8/20/2016,"2,169","1,470","1,169",301
708,Sunday,1,8/21/2016,"2,430","1,808","1,453",355
709,Monday,2,8/22/2016,"4,358","3,082","2,439",643
710,Tuesday,3,8/23/2016,"4,465","3,249","2,550",699
711,Wednesday,4,8/24/2016,"4,550","3,210","2,615",595
712,Thursday,5,8/25/2016,"4,147","3,011","2,380",631
713,Friday,6,8/26/2016,"3,634","2,532","2,000",532
714,Saturday,7,8/27/2016,"2,014","1,430","1,141",289
715,Sunday,1,8/28/2016,"2,687","1,910","1,555",355
716,Monday,2,8/29/2016,"4,376","3,115","2,521",594
717,Tuesday,3,8/30/2016,"4,318","3,226","2,622",604
718,Wednesday,4,8/31/2016,"4,441","3,219","2,620",599
719,Thursday,5,9/1/2016,"4,234","3,116","2,556",560
720,Friday,6,9/2/2016,"3,027","2,230","1,762",468
721,Saturday,7,9/3/2016,"1,966","1,376","1,101",275
722,Sunday,1,9/4/2016,"2,446","1,761","1,452",309
723,Monday,2,9/5/2016,"3,779","2,643","2,145",498
724,Tuesday,3,9/6/2016,"4,619","3,341","2,727",614
725,Wednesday,4,9/7/2016,"4,983","3,584","2,925",659
726,Thursday,5,9/8/2016,"4,645","3,319","2,716",603
727,Friday,6,9/9/2016,"3,612","2,630","2,139",491
728,Saturday,7,9/10/2016,"2,153","1,577","1,323",254
729,Sunday,1,9/11/2016,"3,089","2,307","1,978",329
730,Monday,2,9/12/2016,"4,580","3,446","2,882",564
731,Tuesday,3,9/13/2016,"4,788","3,625","2,992",633
732,Wednesday,4,9/14/2016,"5,095","3,759","3,113",646
733,Thursday,5,9/15/2016,"4,668","3,454","2,860",594
734,Friday,6,9/16/2016,"3,711","2,785","2,272",513
735,Saturday,7,9/17/2016,"2,523","1,861","1,577",284
736,Sunday,1,9/18/2016,"3,364","2,547","2,122",425
737,Monday,2,9/19/2016,"5,513","4,050","3,321",729
738,Tuesday,3,9/20/2016,"5,362","3,762","3,095",667
739,Wednesday,4,9/21/2016,"5,402","3,987","3,293",694
740,Thursday,5,9/22/2016,"5,398","3,996","3,299",697
741,Friday,6,9/23/2016,"3,783","2,663","2,134",529
742,Saturday,7,9/24/2016,"2,395","1,797","1,503",294
743,Sunday,1,9/25/2016,"3,679","2,719","2,289",430
744,Monday,2,9/26/2016,"5,688","4,325","3,570",755
745,Tuesday,3,9/27/2016,"5,842","4,382","3,645",737
746,Wednesday,4,9/28/2016,"5,923","4,458","3,682",776
747,Thursday,5,9/29/2016,"5,717","4,222","3,487",735
748,Friday,6,9/30/2016,"4,250","3,176","2,565",611
749,Saturday,7,10/1/2016,"2,525","1,986","1,656",330
750,Sunday,1,10/2/2016,"3,923","3,023","2,559",464
751,Monday,2,10/3/2016,"5,785","4,281","3,545",736
752,Tuesday,3,10/4/2016,"6,052","4,522","3,780",742
753,Wednesday,4,10/5/2016,"6,150","4,588","3,814",774
754,Thursday,5,10/6/2016,"5,591","4,134","3,419",715
755,Friday,6,10/7/2016,"4,279","3,196","2,616",580
756,Saturday,7,10/8/2016,"2,897","2,066","1,717",349
757,Sunday,1,10/9/2016,"3,904","2,873","2,374",499
758,Monday,2,10/10/2016,"5,458","4,145","3,442",703
759,Tuesday,3,10/11/2016,"5,909","4,399","3,685",714
760,Wednesday,4,10/12/2016,"6,175","4,620","3,823",797
761,Thursday,5,10/13/2016,"5,856","4,422","3,581",841
762,Friday,6,10/14/2016,"4,610","3,505","2,837",668
763,Saturday,7,10/15/2016,"3,081","2,269","1,864",405
764,Sunday,1,10/16/2016,"4,390","3,265","2,718",547
765,Monday,2,10/17/2016,"6,507","4,917","4,018",899
766,Tuesday,3,10/18/2016,"6,941","5,103","4,189",914
767,Wednesday,4,10/19/2016,"6,576","4,776","3,961",815
768,Thursday,5,10/20/2016,"5,985","4,462","3,701",761
769,Friday,6,10/21/2016,"4,789","3,497","2,840",657
770,Saturday,7,10/22/2016,"3,263","2,292","1,881",411
771,Sunday,1,10/23/2016,"4,180","3,135","2,561",574
772,Monday,2,10/24/2016,"6,371","4,865","3,993",872
773,Tuesday,3,10/25/2016,"6,648","4,960","4,070",890
774,Wednesday,4,10/26/2016,"6,501","4,777","3,880",897
775,Thursday,5,10/27/2016,"6,088","4,431","3,574",857
776,Friday,6,10/28/2016,"4,376","3,179","2,510",669
777,Saturday,7,10/29/2016,"2,733","1,955","1,549",406
778,Sunday,1,10/30/2016,"3,953","2,921","2,344",577
779,Monday,2,10/31/2016,"6,108","4,416","3,563",853
780,Tuesday,3,11/1/2016,"5,668","4,185","3,360",825
781,Wednesday,4,11/2/2016,"6,159","4,508","3,663",845
782,Thursday,5,11/3/2016,"5,810","4,241","3,426",815
783,Friday,6,11/4/2016,"4,491","3,394","2,670",724
784,Saturday,7,11/5/2016,"3,110","2,263","1,842",421
785,Sunday,1,11/6/2016,"4,418","3,281","2,713",568
786,Monday,2,11/7/2016,"6,529","4,488","3,573",915
787,Tuesday,3,11/8/2016,"5,756","4,251","3,437",814
788,Wednesday,4,11/9/2016,"5,716","4,102","3,315",787
789,Thursday,5,11/10/2016,"5,323","4,022","3,246",776
790,Friday,6,11/11/2016,"4,280","3,085","2,441",644
791,Saturday,7,11/12/2016,"2,982","2,169","1,777",392
792,Sunday,1,11/13/2016,"4,365","3,172","2,595",577
793,Monday,2,11/14/2016,"6,627","4,888","3,942",946
794,Tuesday,3,11/15/2016,"6,467","4,808","3,905",903
795,Wednesday,4,11/16/2016,"6,631","4,903","3,984",919
796,Thursday,5,11/17/2016,"6,378","4,681","3,779",902
797,Friday,6,11/18/2016,"4,767","3,424","2,734",690
798,Saturday,7,11/19/2016,"3,501","2,580","2,136",444
799,Sunday,1,11/20/2016,"4,647","3,426","2,777",649
800,Monday,2,11/21/2016,"6,336","4,693","3,788",905
801,Tuesday,3,11/22/2016,"6,222","4,564","3,646",918
802,Wednesday,4,11/23/2016,"5,527","3,904","3,082",822
803,Thursday,5,11/24/2016,"4,267","3,197","2,561",636
804,Friday,6,11/25/2016,"3,733","2,678","2,135",543
805,Saturday,7,11/26/2016,"3,299","2,394","1,907",487
806,Sunday,1,11/27/2016,"4,530","3,396","2,722",674
807,Monday,2,11/28/2016,"6,908","5,047","4,167",880
808,Tuesday,3,11/29/2016,"7,714","5,338","4,369",969
809,Wednesday,4,11/30/2016,"7,490","5,425","4,389","1,036"
810,Thursday,5,12/1/2016,"7,190","5,081","4,120",961
811,Friday,6,12/2/2016,"5,391","3,977","3,171",806
812,Saturday,7,12/3/2016,"3,575","2,667","2,178",489
813,Sunday,1,12/4/2016,"5,285","4,031","3,247",784
814,Monday,2,12/5/2016,"7,330","5,439","4,452",987
815,Tuesday,3,12/6/2016,"7,489","5,479","4,500",979
816,Wednesday,4,12/7/2016,"7,345","5,467","4,469",998
817,Thursday,5,12/8/2016,"6,679","4,991","3,998",993
818,Friday,6,12/9/2016,"5,403","3,970","3,190",780
819,Saturday,7,12/10/2016,"3,573","2,712","2,203",509
820,Sunday,1,12/11/2016,"4,834","3,515","2,838",677
821,Monday,2,12/12/2016,"6,905","4,945","3,988",957
822,Tuesday,3,12/13/2016,"6,743","4,927","3,942",985
823,Wednesday,4,12/14/2016,"6,201","4,488","3,593",895
824,Thursday,5,12/15/2016,"5,571","4,071","3,229",842
825,Friday,6,12/16/2016,"3,872","2,780","2,191",589
826,Saturday,7,12/17/2016,"2,613","1,884","1,480",404
827,Sunday,1,12/18/2016,"3,109","2,293","1,853",440
828,Monday,2,12/19/2016,"4,324","3,145","2,477",668
829,Tuesday,3,12/20/2016,"4,226","3,064","2,339",725
830,Wednesday,4,12/21/2016,"3,991","2,914","2,278",636
831,Thursday,5,12/22/2016,"3,160","2,211","1,728",483
832,Friday,6,12/23/2016,"2,386","1,626","1,257",369
833,Saturday,7,12/24/2016,"1,115",825,634,191
834,Sunday,1,12/25/2016,"1,387",930,740,190
835,Monday,2,12/26/2016,"2,147","1,418","1,142",276
836,Tuesday,3,12/27/2016,"2,686","1,777","1,349",428
837,Wednesday,4,12/28/2016,"2,885","1,915","1,476",439
838,Thursday,5,12/29/2016,"2,694","1,837","1,400",437
839,Friday,6,12/30/2016,"2,273","1,541","1,164",377
840,Saturday,7,12/31/2016,"1,188",836,643,193
841,Sunday,1,1/1/2017,"1,447","1,039",832,207
842,Monday,2,1/2/2017,"2,568","1,844","1,448",396
843,Tuesday,3,1/3/2017,"3,566","2,527","1,970",557
844,Wednesday,4,1/4/2017,"3,941","2,816","2,226",590
845,Thursday,5,1/5/2017,"3,841","2,625","2,058",567
846,Friday,6,1/6/2017,"3,261","2,338","1,812",526
847,Saturday,7,1/7/2017,"2,241","1,523","1,204",319
848,Sunday,1,1/8/2017,"2,679","1,892","1,519",373
849,Monday,2,1/9/2017,"4,182","2,841","2,191",650
850,Tuesday,3,1/10/2017,"4,236","3,039","2,391",648
851,Wednesday,4,1/11/2017,"4,628","3,206","2,536",670
852,Thursday,5,1/12/2017,"4,205","3,025","2,403",622
853,Friday,6,1/13/2017,"3,459","2,508","2,033",475
854,Saturday,7,1/14/2017,"2,448","1,744","1,390",354
855,Sunday,1,1/15/2017,"2,853","2,015","1,586",429
856,Monday,2,1/16/2017,"4,638","3,178","2,543",635
857,Tuesday,3,1/17/2017,"5,325","3,669","2,942",727
858,Wednesday,4,1/18/2017,"4,866","3,364","2,670",694
859,Thursday,5,1/19/2017,"4,715","3,375","2,689",686
860,Friday,6,1/20/2017,"3,753","2,713","2,136",577
861,Saturday,7,1/21/2017,"2,481","1,778","1,437",341
862,Sunday,1,1/22/2017,"3,233","2,401","1,981",420
863,Monday,2,1/23/2017,"5,034","3,660","2,957",703
864,Tuesday,3,1/24/2017,"4,787","3,593","2,909",684
865,Wednesday,4,1/25/2017,"4,901","3,602","2,923",679
866,Thursday,5,1/26/2017,"4,398","3,266","2,653",613
867,Friday,6,1/27/2017,"3,823","2,832","2,267",565
868,Saturday,7,1/28/2017,"2,619","1,901","1,534",367
869,Sunday,1,1/29/2017,"3,518","2,612","2,205",407
870,Monday,2,1/30/2017,"5,178","3,826","3,127",699
871,Tuesday,3,1/31/2017,"5,290","3,876","3,127",749
872,Wednesday,4,2/1/2017,"5,469","4,116","3,402",714
873,Thursday,5,2/2/2017,"5,399","4,028","3,303",725
874,Friday,6,2/3/2017,"4,232","3,012","2,342",670
875,Saturday,7,2/4/2017,"2,828","2,084","1,697",387
876,Sunday,1,2/5/2017,"3,724","2,783","2,281",502
877,Monday,2,2/6/2017,"5,733","4,249","3,448",801
878,Tuesday,3,2/7/2017,"5,814","4,284","3,521",763
879,Wednesday,4,2/8/2017,"5,349","4,006","3,248",758
880,Thursday,5,2/9/2017,"5,025","3,681","3,010",671
881,Friday,6,2/10/2017,"4,044","2,922","2,335",587
882,Saturday,7,2/11/2017,"2,323","1,731","1,377",354
883,Sunday,1,2/12/2017,"3,147","2,469","2,005",464
884,Monday,2,2/13/2017,"4,972","3,719","3,014",705
885,Tuesday,3,2/14/2017,"4,878","3,582","2,897",685
886,Wednesday,4,2/15/2017,"5,288","3,786","3,039",747
887,Thursday,5,2/16/2017,"4,968","3,668","2,934",734
888,Friday,6,2/17/2017,"3,788","2,748","2,158",590
889,Saturday,7,2/18/2017,"2,514","1,839","1,496",343
890,Sunday,1,2/19/2017,"3,463","2,602","2,083",519
891,Monday,2,2/20/2017,"4,931","3,700","3,009",691
892,Tuesday,3,2/21/2017,"5,101","3,873","3,079",794
893,Wednesday,4,2/22/2017,"5,144","3,727","2,998",729
894,Thursday,5,2/23/2017,"4,433","3,372","2,657",715
895,Friday,6,2/24/2017,"3,597","2,648","2,111",537
896,Saturday,7,2/25/2017,"2,621","1,826","1,482",344
897,Sunday,1,2/26/2017,"3,397","2,494","2,021",473
898,Monday,2,2/27/2017,"5,062","3,812","3,009",803
899,Tuesday,3,2/28/2017,"4,926","3,678","2,933",745
900,Wednesday,4,3/1/2017,"4,936","3,558","2,822",736
